Pudim de baunilha com calda de caramelo|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de baunilha com calda de frutas|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de baunilha com calda de groselha|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de baunilha com coco e calda de ameixa|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de chocolate com chocolate granulado|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de chocolate com granulado|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de coco|doce|ultraprocessado|Branco/Cinza|Pastoso|Sulfuroso||
Pudim de côco|doce|ultraprocessado|Branco/Cinza|Pastoso|Sulfuroso||
Pudim de coco (lactose)|doce|ultraprocessado|Branco/Cinza|Pastoso|Sulfuroso||
Pudim de coco c/ goiabada|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso|Sociobiodiversidade|Regional
Pudim de coco com|doce|ultraprocessado|Branco/Cinza|Pastoso|Sulfuroso||
Pudim de coco com calda de goiabada|doce|ultraprocessado|Branco/Cinza|Pastoso|Sulfuroso|Sociobiodiversidade|Regional
Pudim de forno de chocolate com calda|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de forno de chocolate com calda de chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de leite|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de maria mole|doce|ultraprocessado|Branco/Cinza|Pastoso|Sulfuroso||
Pudim de morango|doce|ultraprocessado|Vermelho|Pastoso|Sulfuroso||
Pudim de morango c/ groselha|doce|ultraprocessado|Vermelho|Pastoso|Sulfuroso||
Pudim de morango com calda de chocolate|doce|ultraprocessado|Vermelho|Pastoso|Sulfuroso||
Pudim de morango com calda de frutas|doce|ultraprocessado|Vermelho|Pastoso|Sulfuroso||
Pudim de pão|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de pão com calda|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de pão com calda de ameixa|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim de pão com chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim pão|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Pudim sensação|doce|ultraprocessado|Vermelho|Pastoso|Sulfuroso||
Pudim surpresa|doce|ultraprocessado|Marrom/Bege|Pastoso|Sulfuroso||
Rocambole com doce de leite|doce|ultraprocessado|Marrom/Bege||||
Sagu|doce||Roxo/preto||||Regional
Sagu de abacaxi|doce||Amarelo/Laranja||||Regional
Sagu de groselha|doce||Vermelho||||Regional
Sagu de uva|doce||Roxo/preto||||Regional
Sagu maracujá|doce||Amarelo/Laranja|||Sociobiodiversidade|Regional
Salada de fruta|fruta||Misto||||
Salada de frutas|fruta||Misto||||
Sobremesa: banana|fruta||Amarelo/Laranja||||
Sobremesa: banana caramelada|doce||Marrom/Bege||||
Sobremesa: barra de cereais de chocolate e avelã|doce|ultraprocessado|Marrom/Bege||||
Sobremesa: curau de milho|doce||Amarelo/Laranja||Sulfuroso||Regional
Sobremesa: gelatina de morango|doce|ultraprocessado|Vermelho||||
Sobremesa: laranja|fruta||Amarelo/Laranja||||
Sobremesa: maça|fruta||Vermelho||Sulfuroso||
Sobremesa: maçã|fruta||Vermelho||Sulfuroso||
Sobremesa: mamão|fruta||Amarelo/Laranja||||
Sobremesa: melancia|fruta||Vermelho||Sulfuroso||
Sobremesa: paçoca|doce||Marrom/Bege||Sulfuroso|Sociobiodiversidade|
Sobremesa: picolé|doce|ultraprocessado|Vermelho||||
Sobremesa: picolé (lactose)|doce|ultraprocessado|Vermelho||||
Sobremesa: picolé(lactose)|doce|ultraprocessado|Vermelho||||
Sorvete|doce|ultraprocessado|Vermelho||||
Sorvete de abacaxi|doce|ultraprocessado|Amarelo/Laranja|Pastoso|||
Sorvete de chocolate|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Sorvete de creme|doce|ultraprocessado|Marrom/Bege|Pastoso|||
Sorvete de flocos|doce|ultraprocessado|Branco/Cinza|Pastoso|||
Sorvete de morango|doce|ultraprocessado|Vermelho|Pastoso|||
Spumone de uva|doce||Misto|Pastoso|||
Surpresa de maçã|doce||Marrom/Bege||Sulfuroso||
Tangerina|doce||Amarelo/Laranja||||
Tep top|doce|ultraprocessado|Misto||Sulfuroso||
Torrone|doce|ultraprocessado|Branco/Cinza||||
Torta holandesa|doce|ultraprocessado|Misto|Pastoso|||
